Tweet,Same Topic,Different Topic
2,20,4
143,320,197
320,314,308
230,313,34
141,753,52
308887,230,2710
950,946,952
1203,626,223
702,320,707
10464,320,9975
11428,84321,77406
22674,84313,85065
23714,950,86229
30364,2,82321
48186,1203,83554
65051,84395,85627
78662,84482,83080
84313,85574,85076
34,6113,120497
62,7677,132036
4,5813,124810
401,6113,132040
930,5887,46224
930,21617,55290
1482,169937,53778
1543,174946,38919
6754,175530,29820
8261,175922,217980
2710,2026,208771
3009,2082,23714
3164,1579,84321
3222,2344,4
3577,311204,11428
3652,4996,208774
4568,330449,207402
4996,2552,207542
310197,3231,207754
309585,208769,208811
311130,208772,208813
311203,203410,214324
311204,209112,214407
310751,208476,214432
330449,213717,214438
343318,214401,214469
219827,3652,9
220268,4996,15
222770,310197,22
223648,2552,25
227197,4996,28
228856,2344,71
229645,222770,81
113,1149,950
147,3089,3652
48,8441,2
223,9427,4996
437,223,311204
731,113,10464
1025,1149,946
1101,579,20
1149,6126,220268
1570,11298,3652
579,17713,702
2109,4093,950
3089,2109,141
4093,5536,141
5536,8441,62
8441,12738,62
11298,113,4
12738,11298,4
6126,147,151582
9427,147,4
17713,113,151582
514,437,114473
1533,3180,415663
1789,4565,82
420363,15698,155
460864,54605,106
460996,57087,42
461669,149106,174
464103,288470,367
464552,49629,371
1752,72248,335
5063,297017,8666
12714,533514,69517
15657,1533,69683
16535,4565,148703
262567,514,149802
6795,5063,4996
367,3340,548974
397,308620,553417
501,1875,553180
957,397,224598
1368,36474,224157
1371,348308,224592
1513,76512,224590
1875,432479,157343
10601,412417,157342
17759,82,155936
76512,452453,156692
76791,37544,88905
231171,17759,88901
255304,452463,88903
432479,2858,87336
473255,452463,149123
519524,20949,940
2858,448466,2372
3340,267389,2377
16091,452453,2380
16657,255304,1762
20949,448466,2329
31025,452548,2325
36474,31025,2322
37544,424451,2288
37587,452463,2229
37595,424451,2280
267389,448466,1028
306883,424451,2293
41,70743,702
89,70983,420363
136,71763,957
267,194579,437
349,195885,1025
564,196466,519524
584,74368,1543
616,197340,313
627,191737,347780
177,189892,262666
717,330072,181082
715,330600,180395
979,330810,89070
63399,357806,89073
59546,358116,83880
66127,177,28
66403,267,4
68006,41,34216
68292,627,34876
68150,136,34348
412190,564,34445
36,438,39882
2486,1195,77072
22308,6652,77003
71,7502,77076
9967,10638,74481
22308,40689,71529
37506,46498,263134
76165,47635,263139
77692,2486,41004
74486,47662,262298
89677,51257,262995
99965,60934,390387
111865,76165,389544
122217,71,390405
126950,77692,57886
140700,22308,54714
232572,122217,57895
267899,2486,54522
286514,10638,57882
338467,99965,702
439920,140700,950
445125,286514,3089
2221,166729,152971
5416,38495,152990
40138,107913,152971
75742,26390,2
104936,38508,17
217540,43223,29
295857,75196,36
346587,426411,39
455179,152722,20
33016,438986,41
153010,1762,2982
3189,15872,2983
6337,15762,2985
7947,25902,3510
866,26232,1040
18404,25926,1162
23041,30957,3298
25434,31603,3593
25926,35381,2928
28204,25434,1667
29111,67228,4409
39128,292967,5889
45671,342965,3029
57294,1762,1101
58086,331,3055
59737,1843,2700
67228,2306,3475
77654,107760,3476
279134,119440,1101
279132,120667,3940
292964,128233,1101
292967,135038,8206
311951,158244,8279
342965,185468,8809
352916,327729,8824
2322,324784,8827
331,327729,8829
1762,328742,9092
1843,329560,9031
2306,329901,8013
